interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,sex,census_region,hispan,race,household_income,education,state,congress_district,age,age_group,vote_trump
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,female,Midwest,not hispanic,white,"$75,000 to $79,999",tertiary (not bachelor),WI,WI04,49,40 ~ 50,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,female,South,not hispanic,white,"$175,000 to $199,999",bachelor,VA,VA09,46,40 ~ 50,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Unemployed or temporarily on layoff,The United States,female,South,not hispanic,white,"$65,000 to $69,999",at most high school,TX,TX10,75,>= 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Retired,The United States,female,West,not hispanic,white,"Less than $14,999",at most high school,WA,WA05,52,50 ~ 60,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Student,The United States,female,Northeast,not hispanic,white,"$80,000 to $84,999",bachelor,MA,MA05,21,20 ~ 30,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Unemployed or temporarily on layoff,The United States,female,South,not hispanic,black,"Less than $14,999",bachelor,TX,TX36,38,30 ~ 40,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Retired,The United States,female,West,not hispanic,white,"$40,000 to $44,999",bachelor,CA,CA16,69,60 ~ 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Homemaker,The United States,female,South,not hispanic,white,"$100,000 to $124,999",bachelor,NC,NC07,59,50 ~ 60,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Not Sure,Self-employed,The United States,female,South,not hispanic,white,"$20,000 to $24,999",graduate,MD,MD01,74,>= 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,Self-employed,The United States,female,South,not hispanic,white,"$60,000 to $64,999",bachelor,FL,FL18,55,50 ~ 60,0
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Part-time employed,The United States,female,South,not hispanic,white,"$15,000 to $19,999",tertiary (not bachelor),WV,WV02,62,60 ~ 70,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Unemployed or temporarily on layoff,The United States,female,Midwest,not hispanic,white,"$30,000 to $34,999",at most high school,OH,OH08,42,40 ~ 50,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,female,Northeast,not hispanic,white,"$30,000 to $34,999",bachelor,NY,NY25,81,>= 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,male,Midwest,not hispanic,white,"$150,000 to $174,999",bachelor,IN,IN09,71,>= 70,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,female,Midwest,not hispanic,white,"$40,000 to $44,999",graduate,IA,IA03,71,>= 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Full-time employed,The United States,female,South,not hispanic,white,"$75,000 to $79,999",bachelor,SC,SC02,55,50 ~ 60,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,Part-time employed,The United States,female,South,not hispanic,white,"$90,000 to $94,999",bachelor,GA,GA06,69,60 ~ 70,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,Part-time employed,The United States,female,Northeast,not hispanic,white,"$75,000 to $79,999",graduate,PA,PA12,33,30 ~ 40,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,female,Northeast,not hispanic,white,"$60,000 to $64,999",bachelor,NJ,NJ09,70,>= 70,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,female,South,not hispanic,white,"$100,000 to $124,999",bachelor,SC,SC01,77,>= 70,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,female,South,not hispanic,white,"$100,000 to $124,999",tertiary (not bachelor),TX,TX01,65,60 ~ 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Part-time employed,The United States,female,South,not hispanic,black,"Less than $14,999",bachelor,FL,FL23,22,20 ~ 30,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Retired,The United States,female,West,not hispanic,white,"$65,000 to $69,999",graduate,AZ,AZ02,63,60 ~ 70,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,male,Midwest,not hispanic,white,"$45,000 to $49,999",graduate,IL,IL02,79,>= 70,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,Retired,The United States,male,Midwest,not hispanic,white,"$75,000 to $79,999",bachelor,OH,OH04,70,>= 70,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,Full-time employed,The United States,female,Midwest,not hispanic,white,"$80,000 to $84,999",graduate,OH,OH14,54,50 ~ 60,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,Retired,The United States,male,West,not hispanic,white,"$40,000 to $44,999",bachelor,CA,CA36,72,>= 70,0
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Not Sure,Unemployed or temporarily on layoff,The United States,female,South,not hispanic,white,"$20,000 to $24,999",at most high school,FL,FL06,40,40 ~ 50,1
